PULocationID,trip_duration
-1.0,1097898162
1.0,176797
2.0,7680
3.0,404991
4.0,227932
5.0,178800
6.0,1255095
7.0,4137402
8.0,12580
9.0,1028719
10.0,427280
11.0,1146181
12.0,4062
13.0,393365
14.0,1019902
15.0,942462
16.0,1179143
17.0,798491
18.0,973430
19.0,120812
20.0,514514
21.0,1437561
22.0,1288763
23.0,844360
24.0,119059
25.0,460649
26.0,1316762
27.0,14777
28.0,400644
29.0,3581079
30.0,13287
31.0,87800
32.0,571755
33.0,861894
34.0,13667
35.0,1878237
36.0,1159523
37.0,1147094
38.0,169023
39.0,1450689
40.0,305306
41.0,917606
42.0,1045393
43.0,224661
44.0,586424
45.0,326899
46.0,53613
47.0,954663
48.0,872521
49.0,434294
50.0,375168
51.0,864859
52.0,132323
53.0,1090756
54.0,85321
55.0,2587268
56.0,3424669
57.0,174386
58.0,66079
59.0,120320
60.0,589756
61.0,1686095
62.0,1054444
63.0,467008
64.0,90023
65.0,508623
66.0,91597
67.0,373264
68.0,1131643
69.0,1457402
70.0,1306006
71.0,929390
72.0,2927733
73.0,1208241
74.0,2063543
75.0,2137210
76.0,1559529
77.0,3788984
78.0,2383774
79.0,740234
80.0,245366
81.0,482282
82.0,3567336
83.0,674502
84.0,537056
85.0,531813
86.0,1363843
87.0,953202
88.0,704832
89.0,2426987
90.0,441818
91.0,1251788
92.0,4800500
93.0,44411
94.0,458862
95.0,1402407
96.0,12016
97.0,1045653
98.0,276726
99.0,6909
100.0,1082448
101.0,308111
102.0,697987
106.0,431182
107.0,1062015
108.0,876998
109.0,287416
111.0,11605
112.0,118342
113.0,332440
114.0,167718
115.0,4537415
116.0,389823
117.0,1381577
118.0,917573
119.0,1747712
120.0,8745
121.0,1030398
122.0,182807
123.0,4350931
124.0,168530
125.0,81629
126.0,800258
127.0,251578
128.0,18242
129.0,5829947
130.0,932688
131.0,390623
132.0,2109153
133.0,1033666
134.0,571612
135.0,471810
136.0,622943
137.0,1277374
138.0,681882
139.0,217515
140.0,1678915
141.0,1226246
142.0,527044
143.0,282922
144.0,434502
145.0,592284
146.0,898814
147.0,433240
148.0,229628
149.0,2912119
150.0,771891
151.0,358620
152.0,238176
153.0,100279
154.0,14652
155.0,1014049
156.0,648651
157.0,384231
158.0,113447
159.0,1133877
160.0,336405
161.0,1827520
162.0,2028753
163.0,1228087
164.0,320146
165.0,3070809
166.0,509714
167.0,1374424
168.0,2135926
169.0,1874764
170.0,1324620
171.0,2976236
172.0,398771
173.0,2521835
174.0,1415563
175.0,316450
176.0,292971
177.0,945978
178.0,500652
179.0,3214583
180.0,129474
181.0,2916117
182.0,419390
183.0,361435
184.0,6211
185.0,1051945
186.0,274144
187.0,487192
188.0,1788023
189.0,225989
190.0,41093
191.0,332570
192.0,962137
193.0,1788631
194.0,83720
195.0,491569
196.0,1003256
197.0,965074
198.0,363018
200.0,112203
201.0,432973
202.0,234492
203.0,224921
204.0,193504
205.0,611980
206.0,4838145
207.0,13998
208.0,441836
209.0,288152
210.0,3232367
211.0,114870
212.0,758514
213.0,986982
214.0,1316305
215.0,735406
216.0,648452
217.0,184000
218.0,376452
219.0,278021
220.0,448846
221.0,7384546
222.0,799747
223.0,2673975
224.0,66773
225.0,709559
226.0,1142256
227.0,1781976
228.0,1094962
229.0,794908
230.0,2091369
231.0,1365175
232.0,377025
233.0,612725
234.0,428190
235.0,974595
236.0,1486131
237.0,1107313
238.0,558691
239.0,406054
240.0,38541
241.0,618894
242.0,2601211
243.0,440542
244.0,1220966
245.0,1060406
246.0,279330
247.0,1312784
248.0,1140995
249.0,231591
250.0,311556
251.0,1013009
252.0,1755945
253.0,31907
254.0,1043504
255.0,67653
256.0,181451
257.0,723276
258.0,499639
259.0,1339175
260.0,1557062
261.0,213491
262.0,309349
263.0,472533
264.0,1086120
265.0,8431983
