PULocationID,trip_duration
1,6
3,201397
4,32782
6,3251
7,1459410
8,5131
9,70754
10,376408
11,88425
13,8100
14,666205
15,26280
16,97514
17,894611
18,456745
19,154135
20,191809
21,196944
22,405467
23,128266
24,651366
25,1582032
26,494416
27,3000
28,176546
29,248609
30,660
31,26449
32,324453
33,1685307
34,128285
35,961631
36,187861
37,401178
38,223167
39,778434
40,108978
41,4170425
42,3173716
43,1164280
44,45380
45,21143
46,64599
47,431530
48,42420
49,718025
50,38460
51,726566
52,729146
53,49088
54,23457
55,1228717
56,317513
57,34580
58,11667
60,243704
61,1562449
62,421765
63,257228
64,39853
65,1789107
66,122692
67,120055
68,45360
69,719470
70,213256
71,544032
72,675574
73,20926
74,8174068
75,7106628
76,1107506
77,415889
78,360813
79,25041
80,217599
81,290381
82,1910761
83,372291
84,46612
85,414870
86,448507
87,44578
88,30617
89,856283
90,44700
91,561821
92,298087
93,33041
94,187326
95,4049423
96,8689
97,3753783
98,85030
99,3415
100,23797
101,60832
102,93966
106,223929
107,56940
108,346409
111,3540
112,166072
113,22740
114,1620
115,79176
116,1110778
117,411481
118,11586
119,487332
120,30613
121,304499
122,185020
123,302567
124,71714
125,4560
126,149569
127,354163
128,53195
129,966960
130,1782762
131,310044
132,22897
133,180735
134,895124
135,157956
136,616857
137,156326
138,7620
139,176420
140,249915
141,95940
142,41160
143,27840
144,10980
145,167573
146,226590
147,180413
148,5640
149,190365
150,101439
151,91668
152,516595
153,101678
154,8522
155,271970
156,114648
157,102591
158,1980
159,664382
160,107850
161,23580
162,46920
163,24840
164,38100
165,337783
166,1813994
167,469980
168,514815
169,615947
170,136980
171,94758
173,215446
174,473968
175,29415
176,2160
177,482417
178,51141
179,482914
180,35875
181,1409821
182,398578
183,91292
184,20414
185,466031
186,12694
187,5880
188,1093662
189,207114
190,121218
191,305005
192,83147
193,389043
194,18245
195,158663
196,711122
197,1709699
198,160087
200,129485
201,100174
202,30795
203,100387
205,378911
206,33519
207,27278
208,255746
209,25869
210,290317
211,2760
212,220052
213,782959
214,3353
215,339536
216,291725
217,85561
218,305306
219,168481
220,309558
221,8893
222,333119
223,289126
224,23760
225,831246
226,478713
227,409457
228,535573
229,26520
230,11760
231,76593
232,84262
233,28580
234,64440
235,626490
236,178775
237,71640
238,71538
239,18480
240,30809
241,318851
242,769163
243,732329
244,2709454
245,45
246,14760
247,512712
248,191986
249,17040
250,301052
251,540
252,41360
253,4260
254,505012
255,73446
256,132217
257,94268
258,115165
259,212377
260,705912
261,20220
262,35550
263,125797
264,16924
265,421738
