PULocationID,trip_duration
1,5369
3,283224
4,1454754
5,37598
6,33534
7,1894788
8,3735
9,147770
10,736440
11,148075
12,356321
13,4925054
14,819543
15,108138
16,181795
17,1089220
18,596701
19,121411
20,321289
21,326904
22,458559
23,54153
24,5862761
25,1512179
26,721092
27,37477
28,314808
29,368031
30,1593
31,28560
32,430069
33,1160672
34,183412
35,1471707
36,406225
37,1013250
38,239769
39,1616636
40,310511
41,9651547
42,6113514
43,24581599
44,407481
45,1776832
46,38310
47,627831
48,30617803
49,717478
50,8724985
51,887424
52,377859
53,132732
54,49012
55,837650
56,315126
57,44522
58,25651
59,14973
60,194339
61,2173575
62,502757
63,460635
64,187117
65,1302855
66,252930
67,181876
68,26865810
69,726256
70,6603768
71,681701
72,986237
73,76626
74,10997690
75,20992722
76,2416339
77,663370
78,516616
79,22932581
80,484933
81,399450
82,821043
83,236697
84,31156
85,483409
86,556349
87,6103605
88,3436139
89,1441910
90,22935605
91,933256
92,579928
93,211559
94,270928
95,1084302
96,14221
97,1688926
98,114320
99,83678
100,22238014
101,129292
102,253848
105,1006
106,300087
107,27009858
108,307234
109,3984
111,2768
112,463754
113,17737432
114,10091751
115,82223
116,2784677
117,675017
118,18193
119,509462
120,29463
121,376988
122,213090
123,375009
124,217458
125,4352667
126,276595
127,378597
128,106318
129,942783
130,758196
131,268068
132,45624677
133,310722
134,267542
135,336374
136,673687
137,23687699
138,23328143
139,346171
140,38086732
141,37413367
142,37477396
143,17811956
144,8655362
145,703165
146,1334897
147,305957
148,6447756
149,392126
150,124274
151,19357958
152,1846659
153,102233
154,30637
155,804738
156,99057
157,175982
158,5105715
159,816965
160,123546
161,46913832
162,33974014
163,31077698
164,24110046
165,578938
166,10409172
167,608815
168,1108676
169,615578
170,38442391
171,315543
172,21520
173,184596
174,830060
175,49643
176,4803
177,811451
178,74345
179,816971
180,101964
181,1362684
182,629996
183,187595
184,10203
185,387572
186,40999128
187,7444
188,1494054
189,378639
190,58780
191,396820
192,175927
193,1475526
194,166210
195,310349
196,406343
197,903832
198,388507
200,280129
201,181650
202,133294
203,337639
204,14214
205,718959
206,84864
207,68488
208,312938
209,2310270
210,605260
211,7456636
212,373924
213,1035343
214,23357
215,627926
216,746621
217,226568
218,565099
219,585377
220,348782
221,27831
222,582534
223,607670
224,2423017
225,1196967
226,2490103
227,438927
228,1042740
229,24814740
230,23653925
231,14389960
232,1922618
233,14484407
234,32593156
235,710602
236,62770340
237,60562660
238,36162028
239,38488830
240,72506
241,278304
242,1015199
243,586713
244,3108247
245,3180
246,13103999
247,749338
248,487839
249,20223184
250,462616
251,9414
252,164851
253,8246
254,835585
255,262666
256,536385
257,159839
258,281591
259,428677
260,799588
261,5152979
262,19833547
263,30923748
264,8009090
265,493753933
